,機能定義書,,,,,,,,,,,,
,システム名,Flask tech blog,,,,,,,,,,,
,作成者,松田有人,作成日,,,,,,2026/2/15,,,,
,更新者,同上,更新日,,,,,,,,,,
,業務,機能名,説明,BP,エンドポイント,ルーティングパターン,HTTPメソッド,説明,ランク,,1. ドキュメント・README関連,,
,ユーザー情報,登録,ユーザーの新規登録をする,auth,auth.register,/auth/register,"GET,POST",登録,C,,,README作成・更新: ,README.mdの追加、下書き作成、詳細情報の追記
,,キャンセル,ユーザーの新規登録をキャンセルする,,,,,,E,,,READMEマークアップ修正: ,コードタグのテスト、HTML詳細レイアウトの修正
,,ログイン,登録ユーザーでログインする,,auth.login,/auth/,"GET,POST",登録,C,,,画像追加: ,README用画像、admin.jpgの追加
,,キャンセル,ユーザーアカウントを削除する,,,,,,E,,,説明書更新: ,README内の使用説明（Instruction）の修正
,,ログアウト,ログイン状態を解除する,,auth.logout,/auth/logout,GET,表示,D,,,,
,,変更(自身のみ),ユーザー情報を変更する,,auth.edit,/auth/edit,"GET,POST",登録,C,,2. 認証・ユーザー管理,,
,,ユーザーID重複チェック,ユーザーIDの存在確認をリアルタイムで行う,,,,,,A,,,認証機能実装: ,JWT実装、Google OAuth（外部連携）追加、ログイン状態の保持（Remember me）
,,削除(自身のみ),ユーザー情報を削除する,,auth.delete,/auth/delete,POST,登録,C,,,ユーザー管理: ,ユーザー削除機能、アイコン追加、管理画面（ユーザー管理）の実装
,,キャンセル,ユーザー情報を変更をキャンセルする,,,,,,E,,,ログイン画面UI: ,チェックボックスのピルスタイル化、オートフォーカス設定、ログアウト時のフラッシュメッセージ修正
,,一覧表示（管理者のみ）,ユーザー情報一覧を表示する,,,,,,C,,,バリデーション: ,Reactによるリアルタイム・ユーザー名バリデーションの実装
,,一覧表示から削除（管理者のみ）,ユーザー情報一覧から削除する,,,,,,C,,,,
,,一覧表示をキャンセル,ユーザー情報一覧表示をキャンセルする,,,,,,E,,3. カテゴリ・記事関連,,
,OAuth,ログイン,外部認証によるログイン処理を開始する,,auth.oauth_login,/auth/oauth_login,GET,表示,A,,,カテゴリ機能: ,カテゴリ推奨機能、タグの追加・更新、カテゴリ機能（保留中）
,,コールバック処理,外部認証後のコールバック処理を行う,,auth.auth_callback,/auth/callback,GET,表示,A,,,コンテンツ追加: ,JWTおよびHTMXに関する記事の追加、HTMX基礎・演習内容の追加
