product_id,score,free_comment,uploaded_at
100,1,最悪,2025/10/1
100,3,無難,2020/10/1
200,2,古い機種の方が使いやすかった,2020/10/1
400,4,重かったがよかった,2020/10/1
100,4,コスパ最高,2020/10/1
500,1,最悪,2020/10/1
500,2,安いけど微妙,2020/10/1
300,2,よい,2020/10/1
200,4,良かった,2020/10/1
100,5,リピート確定です,2025/11/15
200,3,可もなく不可もなく,2025/12/05
300,1,一週間で壊れた,2026/01/10
400,5,期待以上のクオリティ,2025/11/20
500,4,発送が早くて助かりました,2025/10/05
100,2,期待していただけに残念,2025/11/02
200,5,デザインが秀逸,2025/12/28
300,4,操作に慣れれば使いやすい,2026/01/15
400,2,サイズが思っていたより大きい,2025/10/25
500,3,値段相応の品質,2025/11/30
100,4,色が写真と少し違うが許容範囲,2025/12/12
200,1,説明書が不親切すぎる,2026/01/05
300,5,もっと早く買えばよかった,2025/10/18
400,3,悪くないが、次は他を試す,2025/11/22
500,5,コスパ重視ならこれ一択,2026/02/01
100,3,普通に使えます,2025/12/15
200,2,音がうるさいのが気になる,2025/10/12
300,3,プレゼント用に購入,2025/11/08
400,4,安定感があって良い,2026/01/20
500,2,安っぽい素材感が目立つ,2025/12/01
100,5,家族にも勧めました,2026/01/02
200,4,軽くて持ち運びに便利,2025/10/30
300,2,反応が少し遅い,2025/11/14
400,1,即返品レベル,2025/12/20
500,4,この価格なら文句なし,2026/01/25
100,4,機能面は満足,2025/11/05
200,3,耐久性が少し不安,2025/12/10
300,5,最高傑作だと思う,2026/01/18
400,2,設定が面倒くさい,2025/10/22
500,1,ゴミ、買わない方がいい,2025/11/28
100,5,梱包が丁寧でした,2026/01/30
200,4,質感が良くて気に入った,2025/10/15
300,1,傷がついた状態で届いた,2025/12/05
400,5,長く愛用できそう,2026/01/12
500,3,普通。リピはないかな,2025/11/11
100,2,自分には合わなかった,2025/12/18
200,5,大満足です！,2026/01/05
300,4,コスパがいいので満足,2025/10/08
400,3,接続がたまに切れる,2025/11/25
500,5,これ以外使えません,2026/01/22
100,1,サポートの対応が悪かった,2025/12/29
200,4,予備用として購入,2025/10/19
300,3,平均的な商品,2025/11/17
400,5,プレゼントで喜ばれた,2026/01/08
500,2,期待外れでした,2025/12/14
100,4,使い勝手が非常に良い,2025/10/28
200,1,安物買いの銭失い,2025/11/19
300,5,文句なしの星5,2026/01/27
400,2,重厚感はあるが重すぎる,2025/12/08
500,4,シンプルで使いやすい,2026/01/03
